doc_id,corp_name,old_body_sha256,new_body_sha256,old_bytes,delta_bytes
major_20230112000230,한화오션,ed7102fee88383d06b2275f716fd98df5291d142da69bd928044445a697d64d3,8482d1e5f88104dd73a3009b5ec916ee88757ebe4fece00388a5886fd85f01a5,19061,0
major_20230823000265,한화오션,fe5350219c67dafd005baacbc5a3d842d3acb738bbf79bb86dba6308eaa57259,8225103013967f46df329f202b60bc82c057e7643695576826a59f0be1defe0b,19164,0
major_20230907000281,한화오션,d3d9c990f0fed537c5810e5c7443f39cc378112fb0ede16f7766cca99f5fdc3d,5a106e411fa668cd93868d5ea1ba6eb59a8cc3f648bb42fa9213fdd14353c270,21498,0
major_20230921000008,한화오션,e37b7c6ac768cb0cf8967238d74735fb66d97fed67e56925375ed57dbd48d910,810e034753dabe0e11fc1794bae1d14ea97c4fad1d2b7673be13363d8962822c,21094,0
major_20230921000274,메리츠금융지주,a78d2c5513a720f1180e326f9c08653b72c7d8b7c7d8de03950b2d527fe09b99,44a4d95c2b1dcc30332c12887336ddc8e9cfc67fe6b7593993ef61109b86526b,8049,0
major_20231106000001,한화오션,f223e09aa76f1ef4fd44d60889f03ef523681ff0c3c7ec932029ffdb88c54a71,6cd7fa6a0a4493b4c84fe1a5b3986cd386a98a8e290044bc846778b73243e618,21687,0
major_20240207001081,카카오,ae751c86586b0825f7e776026fdca9bc2e8cfc414b8797643edb810aee77334e,689b8db407075a8130466407374767cb586fbd2ac76877252982befde287ddd4,52168,0
major_20240416000200,이마트,e1edda056c5b92951ffe375ec7a7fdaf2b8a71f62059336eba4e46cc014d7bc7,13439bf6b0a6a8f11903dc12573682009c86577e775457539a719e43e9981505,82560,0
major_20240430000577,이마트,2496858bf696ce089bf7eef7d8aba6ea5d5bdfd9945f033a536894e0776c027e,38d025952b8c21db6e9c9317a56db730e2fe2f00bc189291e94a14395aa6606c,85930,0
major_20241010000542,카카오,3cf12a0811bb128a1b3b62129f5c897e73a4c066442d9df72a34751363d3df82,795b80afd1b5577362aafd3c90ef6a8311255dd40c816b69df0fec05fb7c28e9,36185,0
major_20250225002906,이마트,abb0beb4b24d867d23c578f0976c6c75cd1a72f8c642e509483de68b6c9295f3,e4aed57799ac5288326feb43b963c81fe96c9808286777a9865c6bc9da74bcba,36643,0
major_20250320001145,한화에어로스페이스,9015024247531fcabd8d207725ac0e429d1aec6d0af5f0432514a62e0d36b74d,edf3451fbf230b733a6bc4599e7238523e3e3ccf68fa51ecf000ebf8a70c8237,18744,0
major_20250326000991,한화에어로스페이스,b6167bfdcad944a75a82a6907fcb6a0a8a1b4ace0c12fb8d8057823ef7e84e1a,5712795aa9bbbe9c1bb95ec29cf4a141d44b2e4599dc623a4fb3ec010690414f,21508,0
major_20250408000012,한화에어로스페이스,852ccd6bd5112bdd6d4ecf35911bd567b4217f9220a471449e2d421310e0ef97,cd8390c7247ea53d60cf464c9f1f3393502fccd26b34cff2855cab8f277ca367,30727,0
major_20250408002848,한화에어로스페이스,c47a800bfd50c745cbcdc212cb6296b6c24990de59750a23c9d7c575446ed173,5eca4409c80cdc96f16f22e72565b6509d15b20fdb0c79942134be680165214f,23535,0
major_20250418000593,한화에어로스페이스,a41923813f21e880670f296232b73e30fd8b4b163220151d485f61490515cacc,00a492bbf25d68db23ccc1c5feb008938c6c63ce67f73d61695ead866f4d97ec,24643,0
major_20250418000639,한화에어로스페이스,0cd251def5aff741e645caecc7448f090ff9f4c90434025956c172e4655e7be7,3863392cb2939a1f8f09a5bbfead0c35743c106f93e0004bdc7b974f612b3204,20895,0
major_20250421000435,한화에어로스페이스,fec8ce14018571b26a1f36e8f70504553c0255fcef73ba8cf7d209cf85a22985,0c3722fc3b6ea72a7ba9fed0decfe6cb8fa5cb5420481b4893b9a5fe31499edf,31475,0
major_20250430001080,한화에어로스페이스,0821d9f65e032a8bfe5a745cae1253348429ef945b7ccd27d8607f4cfeac0866,7189cdfb06d57c0a62646b751d53e3958527061bfebb389ba831cd0b160cb6ef,35906,0
major_20250512000462,하나금융지주,debd92c55a7753f0a288d5780210625946fc00657e8303428d11524bcbf9ee42,0afdbe9dcb9fe2c251547f784d4fcb7e601a1261d155f3a37bcdf49775428525,6198,0
major_20250521000278,한화에어로스페이스,21761608e026cd04a537c35c89c91f662d376bda9b77fc3e6903a80d5f2101d5,68a5f7405deb27955f5158edc309fe6a757bc1dc121f0a5ddcfe4600c8ea2eef,28100,0
major_20250611000066,디앤디파마텍,436850083c3f7eaac4d4620fbca8ef1637e431816c2ec15365a933135a69f2a0,1650860340c2242e6a22774bbda9583354f828f3403c41908e8620b855280847,19673,0
major_20250627000349,한화에어로스페이스,ef8b8b46e8e49008a0bd2add8f21ad076044b80cb5ad996dcf3716891abbfecb,09302b5f43a6d5a68848036422cf6dc61c4202e066c67543926037679f7afaf5,24160,0
major_20250703000264,하나금융지주,cb4c3142b3f3072b8ad4e35bb3fc0e7d246a5f35608ee8675241da8e33466f67,40926b035f6d6d2853d330993ac9728929c43c59c90af221b0dcd58c7fd3a22b,6069,0
major_20260326000538,한화솔루션,25b9a1eaa5a885ee46f0613a9afd7201c2262ab83c8a2ec2f127b982135d2062,f9a5d002a2e2395cf48139a874ea1ff76bd07564275ae4c67f6b4b5bfa9ba53f,18626,0
